domain;supergroup;division;subdivision;phylum;class;order;family;genus;species;accesion;Completeness
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_antarcticus;KT898841;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_antarcticus;LC089870;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Acutuncus;Acutuncus_giovanniniae;MW306855;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Adropion;Adropion_sp;MK392633;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Adropion;Adropion_scoticum;OP013274;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Adropion;Adropion_scoticum;OP684785;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Astatumen;Astatumen_trinacriae;FJ435790;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Borealibius;Borealibius_zetlandicus;FJ184601;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Cryobiotus;Cryobiotus_klebelsbergi;KT901831;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KJ856916;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KP013606;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KP013605;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_sp;KP013610;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_higginsi;KU513417;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_pingue;OP013273;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_pingue;FJ435793;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_puniceum;KP013597;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Diphascon;Diphascon_tenue;OQ352269;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_sp;OR554247;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_sp;ON899875;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_sp;MW549049;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_convergens;FJ435798;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;MG818723;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;FR749884;complete
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;GU339057;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;KU513418;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_exemplaris;MW010376;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_exemplaris;MW010373;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_exemplaris;MW010375;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_pallidoides;MN918533;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_pallidus;OP684776;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Mesocrista;Mesocrista_revelata;KU495934;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Mesocrista;Mesocrista_spitzbergensis;KX347535;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_sp;MT328915;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_sp;MW009691;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_bullatus;OP013276;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_recamieri;KX347529;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Cryoconicus;Cryoconicus_antiarktos;MK879527;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Hebesuncus;Hebesuncus_ryani;MK879536;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramajendas;Ramajendas_frigidus;MZ047789;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;FJ435799;partial
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Ramazzottius;Ramazzottius_oberhaeuseri;EU251380;partial
