Sequence Name;OTU
Littlefair_7144;52
PKN272_ASV9338_8;53
PM545_ASV7873_14;53
PKN343_ASV5077_34;54
PKN346_ASV5688_28;55
PN1SB2_4_3520;56
PN1SB2_5_5074;56
PN1SC2_1_6507;56
PN1SC2_4_5326;56
PN4BC2_5_6492;56
PN4SA2_5_2733;56
PN5BB2_1_5292;56
PN5BB2_3_4700;56
PN5BB2_5_5654;56
PN5SC2_1_5799;56
PN5SC2_2_6711;56
PN5SC2_4_5894;56
PN7BC2_2_2732;56
PN7BC2_4_4731;56
SRR8128424_30705;57
SRR8128424_43307;58
SRR8128424_86236;59
SRR8128424_113092;60
SRR8128430_50981;61
SRR8128433_61790;62
TurksCaicos_03__000104273;63
TurksCaicos_10__000104273;63
TurksCaicos_03__000253527;64
TurksCaicos_14__000253527;64
TurksCaicos_16__000253527;64
TurksCaicos_17__000253527;64
TurksCaicos_19__000099425;65
V4009A_Zotu6141;66
V4020A_Zotu6141;66
V4021A_Zotu6141;66
V4022A_Zotu6141;66
V4023A_Zotu6141;66
V4033A_Zotu6141;66
V4177A_Zotu6141;66
X010V4143A_Zotu6141;66
V4016A_Zotu2645;67
V4020A_Zotu2645;67
V4027A_Zotu2645;67
V4138A_Zotu2645;67
V4139A_Zotu2645;67
V4176A_Zotu2645;67
V4181A_Zotu2645;67
X004V4028A_CBRzOTU4188;68
