Sequence Name;Group
BK5BC1_4_9376;1394
BK5BC1_4_9459;1394
BK5BC1_4_10308;1394
BK5BC1_4_10333;1394
BK5BC1_4_10526;1394
BK5BC1_4_10623;1394
BK5BC1_4_11047;1394
BK5BC1_5_698;1394
BK5BC1_5_2587;1394
BK5BC1_5_3577;1394
BK5BC1_5_6784;1394
BK5BC1_5_8543;1394
BK5BC1_5_8931;1394
BK5BC1_5_10198;1394
BK5BC1_5_11638;1394
BK5BC1_5_11701;1394
BK5BC1_5_11859;1394
BK5SA1_1_526;1394
BK5SA1_1_1623;1394
BK5SA1_1_2182;1394
BK5SA1_1_2712;1394
BK5SA1_1_2803;1394
BK5SA1_1_2865;1394
BK5SA1_1_3294;1394
BK5SA1_1_4379;1394
BK5SA1_1_5401;1394
BK5SA1_1_6173;1394
BK5SA1_2_498;1394
BK5SA1_2_1121;1394
BK5SA1_2_1452;1394
BK5SA1_2_1901;1394
BK5SA1_2_2709;1394
BK5SA1_2_2952;1394
BK5SA1_2_3375;1394
BK5SA1_2_4728;1394
BK5SA1_2_4842;1394
BK5SA1_3_684;1394
BK5SA1_3_2416;1394
BK5SA1_3_3304;1394
BK5SA1_3_4083;1394
BK5SA1_3_4224;1394
BK5SA1_3_4353;1394
BK5SA1_3_5337;1394
BK5SA1_3_5788;1394
BK5SA1_3_6053;1394
BK5SA1_3_6778;1394
BK5SA1_3_9480;1394
BK5SA1_3_9577;1394
BK5SA1_4_555;1394
BK5SA1_4_1370;1394
BK5SA1_4_1801;1394
BK5SA1_4_3090;1394
BK5SA1_4_4223;1394
BK5SA1_4_4304;1394
BK5SA1_5_708;1394
BK5SA1_5_3867;1394
BK5SA1_5_6303;1394
BK5SA1_5_7822;1394
BK5SA1_5_14002;1394
BK5SB1_1_694;1394
BK5SB1_2_598;1394
BK5SB1_2_1833;1394
BK5SB1_2_2411;1394
BK5SB1_2_2944;1394
BK5SB1_2_3600;1394
BK5SB1_2_3978;1394
BK5SB1_2_5155;1394
BK5SB1_2_5617;1394
BK5SB1_2_5722;1394
BK5SB1_2_6144;1394
BK5SB1_2_6503;1394
BK5SB1_3_612;1394
