Sequence Name;OTU
BK1BC1_2_4517;29
BK1BC1_2_4949;29
BK1BC1_2_5156;29
BK1BC1_2_5419;29
BK1BC1_2_5577;29
BK1BC1_3_11;29
BK1BC1_3_95;29
BK1BC1_3_350;29
BK1BC1_3_758;29
BK1BC1_3_816;29
BK1BC1_3_878;29
BK1BC1_3_941;29
BK1BC1_3_1314;29
BK1BC1_4_10;29
BK1BC1_4_130;29
BK1BC1_4_267;29
BK1BC1_4_410;29
BK1BC1_4_497;29
BK1BC1_4_510;29
BK1BC1_4_798;29
BK1BC1_5_11;29
BK1BC1_5_117;29
BK1BC1_5_189;29
BK1BC1_5_232;29
BK1BC1_5_636;29
BK1BC1_5_1063;29
BK1BC1_5_1126;29
BK1BC1_5_1190;29
BK1BC1_5_1234;29
BK1BC1_5_1247;29
BK1BC1_5_1517;29
BK1BC1_5_1608;29
BK1BC1_5_1725;29
BK1BC1_5_1954;29
BK1BC1_5_2045;29
BK1BC1_5_2095;29
BK1BC1_5_2098;29
BK1BC1_5_2186;29
BK1BC1_5_2270;29
BK1BC1_5_2422;29
BK1BC1_5_2450;29
BK1BC1_5_2535;29
BK1BC1_5_2547;29
BK1BC1_5_2682;29
BK1BC1_5_2714;29
BK1BC1_5_2801;29
BK1BC1_5_2945;29
BK1BC1_5_2988;29
BK1BC1_5_3042;29
BK1BC1_5_3247;29
BK1BC1_5_3488;29
BK1BC1_5_3591;29
BK1BC1_5_3825;29
BK1BC1_5_3947;29
BK1BC1_5_4033;29
BK1BC1_5_4378;29
BK1BC1_5_4427;29
BK1BC1_5_5054;29
BK1BC1_5_5398;29
BK1BC1_5_5415;29
BK1BC1_5_5536;29
BK1BC1_5_5676;29
BK1BC1_5_5821;29
BK1BC1_5_6331;29
BK1BC1_5_6467;29
BK1BC1_5_6474;29
BK1BC1_5_6509;29
BK1SA1_1_10;29
BK1SA1_1_169;29
BK1SA1_1_181;29
BK1SA1_1_398;29
BK1SA1_1_573;29
BK1SA1_1_600;29
BK1SA1_1_816;29
BK1SA1_1_907;29
BK1SA1_1_1072;29
BK1SA1_1_1076;29
BK1SA1_1_1100;29
BK1SA1_1_1189;29
BK1SA1_1_1447;29
BK1SA1_1_1613;29
BK1SA1_1_1841;29
