domain;supergroup;division;subdivision;phylum;class;order;family;genus;species;accesion
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_sp;MW549049
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_convergens;FJ435798
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;MG818723
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;FR749884
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;GU339057
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_dujardini;KU513418
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_exemplaris;MW010376
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_exemplaris;MW010373
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_exemplaris;MW010375
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_pallidoides;MN918533
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Hypsibius;Hypsibius_pallidus;OP684776
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Mesocrista;Mesocrista_revelata;KU495934
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Mesocrista;Mesocrista_spitzbergensis;KX347535
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_sp;MT328915
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_sp;MW009691
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_bullatus;OP013276
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Hypsibiidae;Pilatobius;Pilatobius_recamieri;KX347529
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Cryoconicus;Cryoconicus_antiarktos;MK879527
Eukaryota;Obazoa;Opisthokonta;Metazoa;Tardigrada;Eutardigrada;Parachela;Ramazzottiidae;Hebesuncus;Hebesuncus_ryani;MK879536
